Mr Studioz A Designer Bouti..,+(91)-40-48543399,4.8,2,"#3-5-911/B, X Road Himayatnagar, Narayanguda, Hyderabad - 500029, Near Lane Beside Agrawala Sweet House",
Seethu Boutique,07947448218,4.3,14,"MIG 518, 3rd Phase, Kphb Colony, Hyderabad - 500085, Opposite Indian Overseas Bank, Community Hall Road, Near Temple Bus Stop",
Himas Couture The Designer ..,+(91)-9676823483,4.8,15,"Plot No 358 Road No  8, Vivekananda Nagar Colony, Vivekananda Nagar-Kukatpally, Hyderabad - 500072, Backside Lane to Relaince Fresh",
Pranavi Designer Studio,07947211833,4.8,8,"Plot no 6, Kista Reddy Pet Road, Beeramguda, Hyderabad - 502032, Beside Delhi Mithai Wala Sweet Shop",
Rk Boutique,07947058853,4.3,5,"8-4-544/5/3, Erragadda, Moti Nagar, Hyderabad - 500018, Opp Janapriya. Metro Polis",
Anus Designer Boutique,08045782223,5.0,1,"Shop No: 2, Blooming Main Road, Nizampet, Hyderabad - 500090, Near Beside Venkat Sai Enclave",
R R Womens World,+(91)-9908213285,4.8,3,"Plot no 196, Shivanagar colony, Attapur, hyderabad - 500048, Piller no 154",
Josh Fashions,+(91)-9581091615,4.1,83,"House No 1-2-49/B/1, Nizampet Road, Nizampet, Hyderabad - 500090, Near Sri Sri Holistic Hospital",
Sakhi Trendz,07947232045,4.8,254,"Himayatnagar, Himayat Nagar, Hyderabad - 500029, Near Goud Hostel",
Dorcas Boutique,08045797098,4.8,2,"Plot Number 5-21/88, B.N RAO NAGAR RAILWAY COLONY, Alwal, Hyderabad - 500010, Near By Jerushalen Church",
Bhuvan Saadvis Boutique,07947230514,4.8,4,"NO 4-140,, Gandhi Statue Road, Chanda Nagar, Hyderabad - 500050, Opp Kaira",
Pns Collections,08045798406,4.8,50,"Ou Colony, Sheikpet, Manikonda, Hyderabad - 500089, Near Dodla Dairy",
Rk Boutique,07947058853,4.3,5,"8-4-544/5/3, Erragadda, Moti Nagar, Hyderabad - 500018, Opp Janapriya. Metro Polis",
Sriyas Designer Boutique Ma..,+(91)-7286974816,2.5,2,"Mamtha Nagar Colony Road No 1, Mamathanagar, Nagole, Hyderabad - 500068, Beside Supraja Hospital",
Kaminenis Fashion & Boutiqu..,08045788251,4.9,6,"Shopno 13 Shanta Estates, Moti Nagar, Hyderabad - 500018, Axis Bank",
S H Dayals Garments,+(91)-40-48547945,4.1,907,"Door No 4-1-865/1-5, Moosa Building, Main Road, Tilak Road, Hyderabad - 500001",
Sriyas Designer Boutique Ma..,+(91)-7286974816,2.5,2,"Mamtha Nagar Colony Road No 1, Mamathanagar, Nagole, Hyderabad - 500068, Beside Supraja Hospital",
Siri Designer Boutique,08045791098,4.3,3,"H. No. 32/B, Borra Lakshmi Nilayam, Film Nagar, Hyderabad - 500096, Opp.T.S.S.P.D.C",
Supriya Fashion Designers,+(91)-7893382218,4.7,20,"House No 3-2-86, Bhag Ameer, Kukatpally, Hyderabad - 500072, Opposite Ward Office Near Hanuman Temple",
New Way Creations,+(91)-9505063199,4.8,2,"House No 2-1-562/4, Masha Allah Building, Nallakunta, Hyderabad - 500044, Opposite Lane to Shanker Mutt Temple",
Keerthana Boutique and Ladi..,07947278628,3.2,6,"H. No.  6-3-913, Kapadia Lane, Somajiguda, Hyderabad - 500082, Near Lane Beside Mahavir Auto",
Tuba Boutique,+(91)-9133204832,5.0,4,"16-11-562,Near Shilpa Fabric Opp.seven Mounts High School, Gaddinaram, Dilsukhnagar, Hyderabad - 500060",
